shipment_wk,shipment_dt,region,fc,sub_hub,shippingtype,isfresh,actual_packgroup,actual_boxname,sku_band,cate2,cate3,cate4,cate5,skuseq,skuname,ordernumber,invoicenumber,units
29,2023-07-18,South,INC5,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,B,식품,생수/음료,음료,차음료,12245503,곰곰 고소한 보리차 1.5L*12pcs,6100002562817,10249275992056,1
29,2023-07-17,South,ANS8,GWJ2 Sub-hub,STANDARD,CORE,SIOC,SIOCs,B,생활용품,세제류,세탁세제류,액체 섬유유연제,2329864,"Box_피죤 레귤러 3100ml 옐로미모사, 4개",23100002359307,10249199987530,1
29,2023-07-22,South,CHW1,GMH1 Sub-hub,OVERNIGHT,CORE,PLASTIC,RPB2.5(50),C,생활용품,방향/탈취/살충제,탈취/제습제,탈취제,11543562,순수백과 피톤치드 500ml,5100002874388,10249434241616,2
29,2023-07-21,South,DON1,GMH1 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),B,뷰티,바디케어,바디로션/크림/오일,바디로션/크림/오일,12493243,바세린 드라이 스킨 리페어 로션 400ml,19100002870817,10249380834350,2
29,2023-07-18,South,ANS4,GWJ2 Sub-hub,STANDARD,CORE,PAPER,B16호,A,생활용품,세제류,세탁세제류,일반세탁세제,33499342,퍼실 라벤더젤 플러스 드럼용 2.7L,22100002428007,10249227027071,1
29,2023-07-17,South,SEL1,GWJ2 Sub-hub,STANDARD,CORE,PAPER,B6호,A,식품,장/오일/소스,소스/드레싱/식초,식초/음용식초,9539054,Organic Bragg 애플 사이다 식초 946ml,24100002290067,10249174653093,1
29,2023-07-22,South,CHW4,GMH1 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),E,패션의류,언더웨어/홈웨어,여성 란제리,속치마/속바지,11313343,아이앤비 인견 와이드속바지 화이트 L,29100003003631,10249429282245,1
29,2023-07-19,South,GMH2,GWJ2 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),D,생활용품,세제류,유아전용세제,젖병세정제,15473726,"웜리(warmly) 유아 젖병 & 1종 주방세제, {""옵션선택"":""싱글팩(1P)""}",26100002588201,10249283958255,1
29,2023-07-20,South,DAEGU,GMH1 Sub-hub,OVERNIGHT,CORE,SIOC,SIOCs,A,식품,생수/음료,음료,차음료,538351,Box_팔도 밥알없는 비락식혜 175ml 30개입 [단품 1],20100002759040,10249341543114,1
29,2023-07-19,South,CHW1,GMH1 Sub-hub,OVERNIGHT,CORE,TPB,TPB11,C,생활용품,세제류,세탁세제류,일반세탁세제,33830331,랩신 항균 세탁세제 솔잎향 3L 3kg 1개,24100002667337,10249309582702,1
